,UserID,Gender,Age,Occupation,Zip-code,zip,city_name,state_name,county_name,zip_code,city,state,county,same
142,143,M,18,3,64043,,,,,,,,,False
160,161,M,45,16,98107-2117,,,,,,,,,False
232,233,F,45,20,37919-4204,,,,,,,,,False
234,235,M,25,0,98153,,,,,,,,,False
292,293,M,56,1,55337-4056,,,,,,,,,False
335,336,M,18,0,98765,,,,,,,,,False
457,458,M,50,16,55405-2546,,,,,,,,,False
505,506,M,25,16,55103-1006,,,,,,,,,False
540,541,F,18,4,5849574,,,,,,,,,False
549,550,M,45,8,21559,,,,,,,,,False
566,567,M,35,20,52570-9634,,,,,,,,,False
573,574,M,25,19,90214,,,,,,,,,False
760,761,M,18,7,99945,,,,,,,,,False
867,868,M,50,17,1702-7224,,,,,,,,,False
912,913,M,25,0,20744-6223,,,,,,,,,False
935,936,M,18,4,34567,,,,,,,,,False
938,939,F,25,20,20110-5616,,,,,,,,,False
945,946,M,35,7,48103-8929,,,,,,,,,False
1045,1046,M,56,18,53404-1230,,,,,,,,,False
1080,1081,M,18,4,68144-2410,,,,,,,,,False
1090,1091,M,18,5,345567,,,,,,,,,False
1108,1109,M,18,10,45904,,,,,,,,,False
1138,1139,M,25,1,93420-2852,,,,,,,,,False
1194,1195,F,1,10,13907,,,,,,,,,False
1200,1201,M,18,4,84112-2004,,,,,,,,,False
1258,1259,M,35,7,2020010,,,,,,,,,False
1268,1269,F,56,13,1234,,,,,,,,,False
1364,1365,F,1,10,61665,,,,,,,,,False
1381,1382,F,45,1,92100,,,,,,,,,False
1433,1434,F,1,10,495321,,,,,,,,,False
1462,1463,M,50,16,92612-3417,,,,,,,,,False
1540,1541,M,56,17,23464-3016,,,,,,,,,False
1576,1577,M,56,0,72227-5733,,,,,,,,,False
1594,1595,M,35,1,92683-1892,,,,,,,,,False
1657,1658,F,35,6,94214,,,,,,,,,False
1672,1673,M,1,10,98043-3621,,,,,,,,,False
1727,1728,M,18,4,11710-1641,,,,,,,,,False
1739,1740,M,56,1,96153,,,,,,,,,False
1757,1758,F,25,0,33067-1400,,,,,,,,,False
1758,1759,M,25,16,22112,,,,,,,,,False
1817,1818,M,1,8,2254,,,,,,,,,False
2001,2002,F,56,13,2136-1522,,,,,,,,,False
2082,2083,M,18,4,64920,,,,,,,,,False
2086,2087,M,25,0,37923-3112,,,,,,,,,False
2105,2106,F,18,20,495321,,,,,,,,,False
2179,2180,M,25,12,27713-9225,,,,,,,,,False
2209,2210,M,45,17,88005-4313,,,,,,,,,False
2219,2220,F,50,3,95451-9554,,,,,,,,,False
2242,2243,M,45,2,86701,,,,,,,,,False
2312,2313,F,50,6,48103-4711,,,,,,,,,False
2479,2480,F,18,20,94410,,,,,,,,,False
2555,2556,M,25,4,2430,,,,,,,,,False
2567,2568,M,25,17,31311,,,,,,,,,False
2571,2572,M,35,14,75005,,,,,,,,,False
2584,2585,M,45,15,64081-8102,,,,,,,,,False
2591,2592,M,50,7,80004-4448,,,,,,,,,False
2718,2719,M,25,12,98100,,,,,,,,,False
2719,2720,M,35,0,20795,,,,,,,,,False
2745,2746,M,50,14,50265-2850,,,,,,,,,False
2852,2853,M,1,1,444555,,,,,,,,,False
2876,2877,M,35,1,80687,,,,,,,,,False
2918,2919,M,18,17,88076,,,,,,,,,False
3101,3102,M,25,12,34170,,,,,,,,,False
